probe_id,plot_id,start_date,start_time,end_date,end_time,lat,lon,location,height,org_layer,excess_length,probe_length,landuse,time_res,available,Hoehe_DGM,Landn,Expo,Inkl,BArt,BTyp,ESC,geometry
Waldstein_1,Waldstein,01.04.2021,00:00,05.01.2022,23:59,50.143130,11.865700,Waldstein,776.00,10,0,90,coniferous_forest,60,1,774.22,1400,289.85,3.12,50,4,1454,"c(704750.780262016, 5558476.90924594)"
Waldstein_2,Waldstein,07.01.2022,00:00,29.03.2022,23:59,50.143130,11.865700,Waldstein,776.00,10,0,90,coniferous_forest,10,1,774.22,1400,289.85,3.12,50,4,1454,"c(704750.780262016, 5558476.90924594)"
Waldstein_3,Waldstein,10.04.2022,00:00,03.11.2022,23:59,50.143130,11.865700,Waldstein,776.00,10,0,90,coniferous_forest,10,1,774.22,1400,289.85,3.12,50,4,1454,"c(704750.780262016, 5558476.90924594)"
Voitsumra,PS022,06.01.2022,00:00,03.11.2022,23:59,50.089880,11.848750,Voitsumra,625.00,0,0,90,meadow,10,1,625.95,1600,141.03,1.25,30,3,1633,"c(703765.92976516, 5552511.1155786)"
S12_014,PS127,07.12.2022,00:00,31.12.2023,23:59,50.190850,11.987810,Martinlamitz,576.00,10,0,120,coniferous_forest,10,0,598.40,1000,276.24,6.36,50,4,1154,"c(713261.396943129, 5564123.85887439)"
S05_014,PS128,07.12.2022,00:00,14.12.2022,23:59,50.124810,11.989120,Marktleuthen,526.00,0,0,90,arable_land,10,0,534.02,1500,167.89,1.81,50,4,1554,"c(713649.212124577, 5556786.56352921)"
S02_014,PS129,07.12.2022,00:00,31.12.2023,23:59,50.055480,11.953050,Zeitelmoos,635.00,10,0,120,coniferous_forest,10,0,641.64,1000,342.88,1.97,50,4,1154,"c(711376.446483574, 5548977.14695043)"
S08_014,PS130,07.12.2022,00:00,31.12.2023,23:59,50.073670,11.954050,Gruen,604.00,0,0,90,meadow,10,0,609.83,1600,141.62,3.16,30,3,1633,"c(711368.007649699, 5551001.97632502)"
S03_014,PS131,08.12.2022,00:00,31.12.2023,23:59,50.211480,11.893740,Foerbau,517.00,0,0,90,arable_land,10,0,526.30,1500,100.14,3.29,30,4,1534,"c(706458.928637536, 5566152.22105094)"
S04_014,PS132,08.12.2022,00:00,31.12.2023,23:59,50.130730,11.759940,Moedlenreuth,556.00,0,0,90,meadow,10,0,556.05,1600,28.71,4.11,30,4,1634,"c(697246.424711328, 5556813.51029083)"
S09_014,PS133,08.12.2022,00:00,31.12.2023,23:59,50.098590,11.797200,Kornbach,651.00,0,0,90,arable_land,10,0,658.51,1500,353.90,5.64,30,4,1534,"c(700042.883810671, 5553339.89932788)"
S14_014,PS134,09.12.2022,00:00,31.12.2023,23:59,50.175520,11.840910,Weissdorf,525.00,0,0,120,arable_land,10,0,530.79,1500,67.67,2.47,50,4,1554,"c(702842.632774532, 5562009.72883662)"
S06_014,PS135,09.12.2022,00:00,31.12.2023,23:59,50.223590,11.821950,Markersreuth,546.00,0,0,90,meadow,10,0,553.84,1600,305.94,3.79,50,4,1654,"c(701286.709040361, 5567301.97485613)"
S01_014,PS137,23.12.2022,00:00,31.12.2023,23:59,50.105065,11.922489,Grub,622.00,0,0,90,arable_land,10,0,624.14,1500,149.67,3.56,50,4,1554,"c(708973.443024256, 5554402.99476258)"
S07_014,PS138,23.12.2022,00:00,31.12.2023,23:59,50.129343,11.808350,Zell,587.00,0,0,90,meadow,10,0,636.65,1600,47.41,5.04,30,3,1633,"c(700711.490237465, 5556788.44246968)"
S15_014,PS136,23.12.2022,00:00,31.12.2023,23:59,50.213667,11.754528,Unfriedsdorf,577.00,10,8,120,coniferous_forest,10,0,577.87,1000,169.84,1.83,50,4,1154,"c(696519.033964201, 5566018.89729042)"
S11_014,PS139,17.02.2022,00:00,31.12.2023,23:59,50.136556,11.846861,Waldstein,732.00,10,75,120,coniferous_forest,10,0,731.82,1000,158.15,11.47,50,4,1154,"c(703432.850131471, 5557694.57931156)"
