probe_id,plot_id,start_date,start_time,end_date,end_time,lat,lon,location,height,org_layer,excess_length,probe_length,landuse,time_res,available,Hoehe_DGM,Landn,Expo,Inkl,BArt,BTyp,ESC,geometry
S0001,P0014,09.09.2021,11:10,11.11.2021,09:00,50.131389,11.922167,Kleinschloppen,615.00,0,30,90,meadow,30,0,617.30,1600,19.95,7.14,50,4,1654,"c(708835.799322921, 5557328.30096145)"
S0002,P0007,09.09.2021,12:40,02.11.2021,14:00,50.142778,11.926278,Kirchenlamitz,686.00,10,0,120,coniferous_forest,30,0,667.46,1100,126.46,4.56,50,4,1154,"c(709079.876216794, 5558605.83514772)"
S0003,P0013,09.09.2021,13:10,02.11.2021,13:00,50.079917,11.839944,Weissenhaid,706.00,0,0,90,meadow,30,0,700.45,1100,181.59,7.97,30,4,1134,"c(703178.282683956, 5551379.60563084)"
S0004,P0025,09.09.2021,14:00,02.11.2021,12:00,50.153472,11.941694,Kirchenlamitz,611.00,0,0,90,arable_land,30,0,613.95,1500,58.53,2.51,50,4,1554,"c(710134.26614403, 5559837.92285188)"
S0005,P0011,09.09.2021,16:10,11.11.2021,09:00,50.119972,11.992000,Marktleuthen,574.00,0,0,90,arable_land,30,0,573.45,1500,124.02,3.45,50,4,1554,"c(713876.600196218, 5556257.02317584)"
S0006,P0047,10.09.2021,11:15,03.11.2021,12:00,50.147694,11.883833,Kleiner Waldstein,855.00,12,43,90,coniferous_forest,30,0,854.46,1100,118.85,0.80,50,4,1154,"c(706026.546833946, 5559034.18912541)"
S0007,P0048,10.09.2021,13:20,03.11.2021,12:00,50.163028,11.880556,Waldstein,642.00,14,6,90,coniferous_forest,30,0,625.95,1100,201.95,7.13,30,4,1134,"c(705726.614113666, 5560729.70717032)"
S0008,P0009,10.09.2021,14:40,03.11.2021,12:00,50.146472,11.848972,Reinersreuth,641.00,10,20,90,coniferous_forest,30,0,630.03,1100,244.20,8.77,50,2,1152,"c(703541.56843222, 5558802.62911448)"
S0009,P0010,14.09.2021,08:50,04.11.2021,11:30,50.177389,11.898056,Foermitz,559.00,0,0,90,arable_land,30,0,559.99,1500,268.17,3.81,30,4,1534,"c(706914.194725327, 5562374.54017537)"
S0010,P0005,14.09.2021,14:05,05.11.2021,09:30,50.093694,11.800167,Kornbach,641.00,0,0,90,meadow,30,0,641.48,1600,295.12,2.80,30,4,1634,"c(700275.461062447, 5552803.60165686)"
S0011,P0008,17.09.2021,13:00,02.11.2021,11:00,50.175139,11.943611,Oberschieda,655.00,5,45,120,coniferous_forest,30,0,642.96,1100,141.01,6.55,30,4,1134,"c(710176.079653695, 5562251.86242932)"
S0012,P0006,14.09.2021,14:55,04.11.2021,09:30,50.092222,11.806111,Kornbach,664.00,0,10,120,arable_land,30,0,664.79,1500,191.20,6.10,50,4,1554,"c(700706.684338406, 5552655.93535766)"
S02_001,PS003,04.11.2021,00:00,06.12.2021,23:59,50.117790,11.953860,Reicholdsgruen,551.00,0,36,120,meadow,30,1,551.63,1600,338.96,0.50,30,2,1632,"c(711160.281282547, 5555905.83244319)"
S03_001,PS001,04.11.2021,00:00,06.12.2021,23:59,50.081340,11.962100,Roeslau,608.00,0,2,90,arable_land,30,1,585.25,1500,153.33,5.27,50,4,1554,"c(711910.07645748, 5551877.39455669)"
S04_001,PS002,04.11.2021,00:00,03.01.2022,23:59,50.099590,11.975920,Duernberg,574.00,0,2,90,arable_land,30,1,574.62,1500,25.78,3.29,40,4,1544,"c(712817.713158809, 5553945.3846715)"
S06_001,PS008,06.11.2021,00:00,05.01.2022,23:59,50.141940,11.882070,Waldstein,799.00,10,0,90,coniferous_forest,30,1,800.90,1100,30.62,7.02,50,4,1154,"c(705925.333770283, 5558389.69254596)"
S08_001,PS011,06.11.2021,00:00,07.12.2021,23:59,50.171070,11.914110,Hallerstein,653.00,14,22,90,coniferous_forest,30,1,659.80,1100,230.75,4.74,30,4,1134,"c(708087.69610077, 5561716.78902712)"
S09_001,PS007,06.11.2021,00:00,03.01.2022,23:59,50.101170,11.784000,Kornbach,600.00,0,0,90,meadow,30,1,617.20,1600,219.42,7.36,30,4,1634,"c(699088.312668078, 5553591.40573781)"
S10_001,PS009,06.11.2021,00:00,05.12.2021,23:59,50.145340,11.882760,Waldstein,833.00,10,22,90,coniferous_forest,30,1,841.86,1100,24.28,5.85,50,4,1154,"c(705960.017027548, 5558769.54948716)"
S11_001,PS004,04.11.2021,00:00,08.12.2021,23:59,50.078140,11.866190,Schoenlind,708.00,12,21,120,coniferous_forest,30,1,704.32,1100,205.25,5.82,50,2,1152,"c(705063.312130744, 5551253.83076085)"
S12_001,PS006,06.11.2021,00:00,03.01.2022,23:59,50.063640,11.838230,Schneeberg,806.00,16,16,120,coniferous_forest,30,1,812.28,1100,253.24,6.01,50,2,1152,"c(703124.465055262, 5549565.55854707)"
S13_001,PS010,06.11.2021,00:00,05.12.2021,23:59,50.131850,11.861020,Waldstein,786.00,6,4,120,coniferous_forest,30,1,793.18,1400,155.71,6.11,50,4,1454,"c(704464.550586543, 5557210.1588341)"
S14_001,PS005,04.11.2021,00:00,03.01.2022,23:59,50.092220,11.816890,Torfmoorhoelle,674.00,12,8,120,coniferous_forest,30,1,666.26,1100,89.26,2.20,50,4,1154,"c(701477.549748464, 5552684.75184772)"
S02_002,PS015,09.12.2021,00:00,03.01.2022,23:59,50.170250,11.985806,Niederlamitz,569.00,5,65,120,mixed_forest,30,1,574.73,1400,265.46,7.56,30,4,1434,"c(713210.118959527, 5561828.2108391)"
S03_002,PS013,09.12.2021,00:00,31.01.2022,23:59,50.121556,11.930833,Fichtenhammer,573.00,0,0,90,meadow,30,1,573.29,1600,157.95,0.93,30,2,1632,"c(709497.976523316, 5556259.5495993)"
S05_002,PS012,07.12.2021,00:00,05.01.2022,23:59,50.206833,11.755972,Unfriedsdorf,602.00,0,0,90,arable_land,30,1,603.09,1500,83.27,2.99,50,4,1554,"c(696650.141191672, 5565263.00211089)"
S08_002,PS016,09.12.2021,00:00,03.01.2022,23:59,50.137917,11.972083,Raumentsgruen,577.00,0,0,90,arable_land,30,1,566.90,1500,28.95,2.93,30,4,1534,"c(712373.617401715, 5558194.89220209)"
S10_002,PS014,09.12.2021,00:00,03.01.2022,23:59,50.147056,11.942722,Kirchenlamitz,611.00,0,0,90,arable_land,30,1,610.22,1500,200.68,4.15,50,4,1554,"c(710235.835015903, 5559127.60915467)"
S11_002,PS017,10.12.2021,00:00,05.01.2022,23:59,50.205638,11.851112,Oppenroth,569.00,5,45,120,coniferous_forest,30,1,555.53,1100,225.99,7.55,50,4,1154,"c(703442.867826103, 5565385.55868056)"
S02_003,PS023,07.01.2022,00:00,31.01.2022,23:59,50.139510,11.923320,Grossschloppen,690.00,10,20,120,coniferous_forest,10,1,690.53,1100,73.04,2.99,50,4,1154,"c(708882.802806517, 5558234.27148852)"
S04_003,PS019,06.01.2022,00:00,31.01.2022,23:59,50.076530,11.964820,Gruen,611.00,0,0,90,arable_land,10,1,577.82,1500,34.60,3.36,50,4,1554,"c(712125.873990601, 5551350.44023932)"
S05_003,PS026,08.01.2022,00:00,02.02.2022,23:59,50.128560,11.734630,Fleisnitz,556.00,0,0,90,arable_land,10,1,562.33,1500,96.64,3.03,30,4,1534,"c(695446.666980803, 5556505.6728315)"
