probe_id,plot_id,start_date,start_time,end_date,end_time,lat,lon,location,height,org_layer,excess_length,probe_length,landuse,time_res,available,Hoehe_DGM,Landn,Expo,Inkl,BArt,BTyp,ESC,geometry
S01_001,P0150,13.11.2021,00:00,02.12.2021,23:59,50.09995,11.844265,Weissenstadt,638,0,0,90,meadow,30,1,637.99,1600,19.31,2.08,30,3,1633,"c(703402.509595388, 5553618.28576281)"
S01_002,P0151,04.12.2021,00:00,09.12.2021,23:59,50.208507,11.839507,Oppenroth,511,0,0,90,meadow,30,1,511.09,1600,76.78,2.79,30,4,1634,"c(702602.75385854, 5565672.87024256)"
S01_003,P0153,11.12.2021,00:00,19.12.2021,23:59,50.087048,11.848669,Voitsumra,634,0,0,90,meadow,30,1,633.95,1600,146.08,1.48,30,3,1633,"c(703772.152389682, 5552196.08351024)"
S01_004,P0152,24.12.2021,00:00,16.01.2022,23:59,50.211893,11.887627,Foerbau,541,0,18,90,meadow,30,1,541.01,1500,138.75,2.94,30,3,1533,"c(706021.073269647, 5566181.21129816)"
S01_005,P0154,23.01.2022,00:00,03.02.2022,23:59,50.223933,11.823274,Markersreuth,555,0,3,90,meadow,10,1,555.38,1600,358.98,2.01,50,4,1654,"c(701379.689572777, 5567343.68228119)"
S01_006,P0155,05.02.2022,00:00,06.02.2022,23:59,50.129343,11.80835,Zell,637,0,0,90,meadow,10,1,636.65,1600,47.41,5.04,30,3,1633,"c(700711.490237465, 5556788.44246968)"
S01_007,P0156,11.02.2022,00:00,13.02.2022,23:59,50.073714,11.95415,Gruen,609,0,40,90,meadow,10,1,609.38,1600,137.2,3.16,30,3,1633,"c(711374.968166599, 5551007.15048194)"
S01_008,P0107,15.02.2022,00:00,20.02.2022,23:59,50.182029,11.740807,Ploesen,574,0,20,90,arable_land,10,1,571.89,1500,57.65,2.54,50,4,1554,"c(695669.61084143, 5562465.74679159)"
S01_009,P0108,01.03.2022,00:00,03.03.2022,23:59,50.147609,11.942739,Kirchlamitz,605,0,36,90,arable_land,10,1,605.82,1500,198.04,3.99,50,4,1554,"c(710234.623412059, 5559189.12925642)"
S01_010,P0109,05.03.2022,00:00,07.03.2022,23:59,50.120788,11.753815,Moedlenreuth,539,0,3,90,arable_land,10,1,539.88,1500,257.5,1.75,50,4,1554,"c(696849.543318652, 5555692.13976554)"
S01_011,P0110,09.03.2022,00:00,17.03.2022,23:59,50.16101,11.768444,Weissenstadt,565,0,0,90,arable_land,10,1,565.8,1500,174.89,3.69,50,4,1554,"c(697729.146893433, 5560202.08259635)"
S01_012,P0111,19.03.2022,00:00,31.03.2022,23:59,50.217783,11.964358,Martinlamitz,553,0,35,90,arable_land,10,1,553.06,1500,43.58,2.86,50,4,1554,"c(711468.609309664, 5567050.93475224)"
S01_013,P0112,06.04.2022,00:00,06.04.2022,23:59,50.132085,11.949778,Grossschloppen,567,0,0,90,arable_land,10,1,566.66,1500,86.84,2.08,50,4,1554,"c(710805.680524339, 5557483.33172025)"
S01_014,P0113,08.04.2022,00:00,07.04.2022,23:59,50.097088,11.928197,Grub,599,0,0,90,arable_land,10,1,599.84,1500,39.29,3.66,50,4,1554,"c(709416.329649867, 5553532.26415158)"
S01_015,P0104,09.04.2022,00:00,24.04.2022,23:59,50.105065,11.922489,Grub,624,0,20,90,arable_land,10,1,624.14,1500,149.67,3.56,50,4,1554,"c(708973.443024256, 5554402.99476258)"
S01_016,P0103,26.04.2022,00:00,04.05.2022,23:59,50.09851,11.797039,Kornbach,657,0,14,90,arable_land,10,1,657.45,1500,355.13,5.64,30,4,1534,"c(700031.704760032, 5553330.57478284)"
S01_017,P0105,06.05.2022,00:00,11.05.2022,23:59,50.176334,11.840065,Weissdorf,533,0,0,90,arable_land,10,1,533.14,1500,183.79,2.49,50,4,1554,"c(702778.860529879, 5562097.91717392)"
S01_018,P0114,13.05.2022,00:00,18.05.2022,23:59,50.214121,11.773766,Laubersreuth,602,0,3,90,arable_land,10,1,601.78,1500,157.44,2.02,50,4,1554,"c(697889.477786191, 5566120.2807054)"
S01_019,P0115,20.05.2022,00:00,31.05.2022,23:59,50.09335,11.853674,Voitsumra,626,0,20,90,arable_land,10,0,627.46,1500,41.41,2.1,50,4,1554,"c(704103.334196089, 5552910.30092906)"
S01_020,P0116,02.06.2022,00:00,14.06.2022,23:59,50.082306,11.956222,Roeslau,599,0,30,90,arable_land,10,0,598.96,1500,183.69,4.99,50,4,1554,"c(711485.374223177, 5551968.10589544)"
S01_021,P0117,16.06.2022,00:00,20.06.2022,23:59,50.122634,11.928277,Fichtenhammer,624,0,60,90,arable_land,10,0,588.4,1500,141.54,3.46,50,4,1554,"c(709310.596096384, 5556372.20724186)"
S01_022,P0104,22.06.2022,00:00,03.07.2022,23:59,50.105065,11.922489,Grub,624,0,50,90,arable_land,10,0,624.14,1500,149.67,3.56,50,4,1554,"c(708973.443024256, 5554402.99476258)"
