"datetime","T_org","T_05","T_15","T_25","T_35","T_45","T_55","T_65","T_75","T_85","T_95","T_105","T_115","M_org","M_05","M_15","M_25","M_35","M_45","M_55","M_65","M_75","M_85","M_95","M_105","M_115"
2022-02-23 09:10:00,NA,0.2999878,1.720001,1.859985,2.829987,2.940002,2.700012,3.48999,3.51001,4.329987,NA,NA,NA,NA,28.4337328131782,32.0037144777046,30.6743942576261,31.1112774181735,31.3381815481816,27.6102168072619,27.1006371500144,26.2079094286172,25.6785638647628,NA,NA,NA
2022-02-23 09:20:00,NA,0.2799988,1.720001,1.859985,2.850006,3.019989,2.720001,3.5,3.51001,4.320007,NA,NA,NA,NA,28.4593770660915,32.0037144777046,30.6795912725324,31.1053717303147,31.3119577268195,27.6048939205355,27.0951046162436,26.2138443878996,25.6836646547625,NA,NA,NA
2022-02-23 09:30:00,NA,0.2999878,1.720001,1.790009,2.850006,2.920013,2.820007,3.470001,3.570007,4.130005,NA,NA,NA,NA,28.4786177320888,32.0037144777046,30.7003899500167,31.1112774181735,31.3447470232771,27.588935095791,27.1061699174577,26.1960488037326,25.7347598601042,NA,NA,NA
2022-02-23 09:40:00,NA,0.3999939,1.720001,1.859985,2.820007,3.059998,2.790009,3.440002,3.540009,4.269989,NA,NA,NA,NA,28.4722096167021,32.0037144777046,30.6795912725324,31.1230895091762,31.2988475695127,27.5942487865363,27.1117029185555,26.201983211237,25.6989851324127,NA,NA,NA
2022-02-23 09:50:00,NA,0.3299866,1.720001,1.829987,2.850006,2.950012,2.73999,3.540009,3.570007,4.149994,NA,NA,NA,NA,28.5107145209826,32.0037144777046,30.6951921879159,31.1112774181735,31.3316251545561,27.5995712469552,27.0840317259865,26.1960488037326,25.7296485614039,NA,NA,NA
2022-02-23 10:00:00,NA,0.4100037,1.720001,1.859985,2.829987,2.920013,2.73999,3.420013,3.540009,4.170013,NA,NA,NA,NA,28.5042962816231,32.0037144777046,30.6795912725324,31.1171833444664,31.3513040015727,27.6048939205355,27.1172446792555,26.201983211237,25.7296485614039,NA,NA,NA
2022-02-23 10:10:00,NA,0.4599915,1.720001,1.76001,2.850006,3.040009,2.720001,3.51001,3.459991,4.179993,NA,NA,NA,NA,28.4978783443542,32.0037144777046,30.7107947855029,31.1112774181735,31.3119577268195,27.6102168072619,27.1006371500144,26.2257066671909,25.7245374704498,NA,NA,NA
2022-02-23 10:20:00,NA,0.6099854,1.720001,1.829987,2.850006,2.970001,2.700012,3.450012,3.48999,4.230011,NA,NA,NA,NA,28.4529612441805,32.0037144777046,30.6951921879159,31.1112774181735,31.3316251545561,27.6155399071187,27.1117029185555,26.2197711562241,25.7143159118419,NA,NA,NA
2022-02-23 10:30:00,NA,0.8200073,1.720001,1.790009,2.850006,2.970001,2.769989,3.440002,3.48999,4.170013,NA,NA,NA,NA,28.3952927093749,32.0037144777046,30.7055878988073,31.1112774181735,31.3316251545561,27.5995712469552,27.1117029185555,26.2197711562241,25.7296485614039,NA,NA,NA
2022-02-23 10:40:00,NA,1.019989,1.720001,1.76001,2.850006,2.950012,2.720001,3.51001,3.540009,4.230011,NA,NA,NA,NA,28.3377088587318,32.0037144777046,30.7107947855029,31.1112774181735,31.3447470232771,27.6102168072619,27.0951046162436,26.201983211237,25.709205444219,NA,NA,NA
2022-02-23 10:50:00,NA,1.049988,1.720001,1.709991,2.850006,2.970001,2.700012,3.48999,3.51001,4.230011,NA,NA,NA,NA,28.3377088587318,31.9975170477669,30.7212091207657,31.1112774181735,31.3316251545561,27.6155399071187,27.1006371500144,26.2138443878996,25.7143159118419,NA,NA,NA
2022-02-23 11:00:00,NA,1.220001,1.720001,1.730011,2.850006,2.899994,2.670013,3.470001,3.559998,4.220001,NA,NA,NA,NA,28.2802096344194,31.9975170477669,30.7212091207657,31.1112774181735,31.3644276249469,27.6261953050568,27.1061699174577,26.1960488037326,25.709205444219,NA,NA,NA
2022-02-23 11:10:00,NA,1.429993,1.720001,1.730011,2.829987,2.869995,2.769989,3.549988,3.540009,4.179993,NA,NA,NA,NA,28.2100547554673,31.9975170477669,30.7212091207657,31.1171833444664,31.3644276249469,27.5995712469552,27.0840317259865,26.201983211237,25.7194265872573,NA,NA,NA
2022-02-23 11:20:00,NA,1.480011,1.720001,1.660004,2.850006,2.950012,2.73999,3.420013,3.589996,4.119995,NA,NA,NA,NA,28.2036764981023,31.9975170477669,30.7368232753566,31.1112774181735,31.3447470232771,27.6048939205355,27.1172446792555,26.1901146723495,25.7398798015359,NA,NA,NA
2022-02-23 11:30:00,NA,1.630005,1.720001,1.730011,2.820007,2.950012,2.670013,3.549988,3.51001,4.149994,NA,NA,NA,NA,28.1654648334714,31.9975170477669,30.7212091207657,31.1230895091762,31.3447470232771,27.6261953050568,27.0840317259865,26.2138443878996,25.7347598601042,NA,NA,NA
2022-02-23 11:40:00,NA,1.839996,1.700012,1.76001,2.799988,2.920013,2.73999,3.420013,3.48999,4.230011,NA,NA,NA,NA,28.0955154894309,32.0037144777046,30.7107947855029,31.1289871358783,31.3578612719724,27.6048939205355,27.1172446792555,26.2197711562241,25.709205444219,NA,NA,NA
2022-02-23 11:50:00,NA,1.98999,1.720001,1.709991,2.850006,2.950012,2.700012,3.440002,3.459991,4.170013,NA,NA,NA,NA,28.0510664300385,31.9975170477669,30.7264078171373,31.1112774181735,31.3447470232771,27.6155399071187,27.1117029185555,26.2257066671909,25.7245374704498,NA,NA,NA
2022-02-23 12:00:00,NA,2.119995,1.720001,1.679993,2.829987,2.920013,2.700012,3.440002,3.51001,4.179993,NA,NA,NA,NA,28.0130009849632,31.9975170477669,30.7316154526239,31.1171833444664,31.3513040015727,27.6155399071187,27.1117029185555,26.2138443878996,25.7194265872573,NA,NA,NA
2022-02-23 12:10:00,NA,2.279999,1.720001,1.730011,2.850006,2.920013,2.73999,3.440002,3.48999,4.200012,NA,NA,NA,NA,27.9876557516193,31.9975170477669,30.7212091207657,31.1112774181735,31.3513040015727,27.6048939205355,27.1117029185555,26.2197711562241,25.7194265872573,NA,NA,NA
2022-02-23 12:20:00,NA,2.450012,1.720001,1.640015,2.850006,2.98999,2.769989,3.399994,3.459991,4.230011,NA,NA,NA,NA,27.9370053608731,32.0037144777046,30.7420312853233,31.1112774181735,31.3316251545561,27.5995712469552,27.1227696216427,26.2257066671909,25.709205444219,NA,NA,NA
2022-02-23 12:30:00,NA,2.450012,1.720001,1.609985,2.850006,2.970001,2.670013,3.440002,3.559998,4.089996,NA,NA,NA,NA,27.9370053608731,31.9975170477669,30.7524478669101,31.1112774181735,31.3381815481816,27.6261953050568,27.1117029185555,26.1960488037326,25.744991516025,NA,NA,NA
2022-02-23 12:40:00,NA,2.359985,1.720001,1.640015,2.850006,2.950012,2.700012,3.390015,3.540009,4.299988,NA,NA,NA,NA,27.962323877995,32.0037144777046,30.7368232753566,31.1112774181735,31.3447470232771,27.6155399071187,27.1283118502817,26.201983211237,25.6887740835338,NA,NA,NA
2022-02-23 12:50:00,NA,2.609985,1.799988,1.700012,2.850006,2.970001,2.769989,3.470001,3.540009,4.200012,NA,NA,NA,NA,27.8927373213145,31.9727652010883,30.7264078171373,31.1112774181735,31.3381815481816,27.5995712469552,27.1061699174577,26.201983211237,25.7194265872573,NA,NA,NA
2022-02-23 13:00:00,NA,2.660004,1.799988,1.630005,2.850006,2.899994,2.73999,3.48999,3.470001,4.170013,NA,NA,NA,NA,27.8737771282835,31.9789527788173,30.7472307290822,31.1112774181735,31.3578612719724,27.6048939205355,27.1006371500144,26.2257066671909,25.7245374704498,NA,NA,NA
2022-02-23 13:10:00,NA,3.019989,1.899994,1.609985,2.850006,3.019989,2.73999,3.570007,3.529999,4.230011,NA,NA,NA,NA,27.7665409631791,31.9480351005721,30.7472307290822,31.1112774181735,31.3185132438516,27.6048939205355,27.0785084171459,26.2079094286172,25.709205444219,NA,NA,NA
2022-02-23 13:20:00,NA,3.100006,1.899994,1.630005,2.829987,2.950012,2.720001,3.48999,3.540009,4.149994,NA,NA,NA,NA,27.7476500507295,31.9480351005721,30.7472307290822,31.1171833444664,31.3447470232771,27.6102168072619,27.1006371500144,26.201983211237,25.7296485614039,NA,NA,NA
2022-02-23 13:30:00,NA,3.25,1.929993,1.76001,2.850006,2.899994,2.73999,3.51001,3.440002,4.25,NA,NA,NA,NA,27.7098933753251,31.9480351005721,30.7055878988073,31.1112774181735,31.3644276249469,27.6048939205355,27.0951046162436,26.2316424541617,25.7040867518039,NA,NA,NA
2022-02-23 13:40:00,NA,3.350006,1.910004,1.660004,2.850006,3.019989,2.790009,3.549988,3.51001,4.170013,NA,NA,NA,NA,27.6784490608346,31.9603996395001,30.7316154526239,31.1112774181735,31.3250690531049,27.5942487865363,27.0840317259865,26.2138443878996,25.7245374704498,NA,NA,NA
2022-02-23 13:50:00,NA,3.410004,1.929993,1.630005,2.850006,3,2.670013,3.529999,3.48999,4.25,NA,NA,NA,NA,27.665888823359,31.9542216549489,30.7368232753566,31.1112774181735,31.3316251545561,27.6261953050568,27.0895723161632,26.2197711562241,25.7040867518039,NA,NA,NA
2022-02-23 14:00:00,NA,3.559998,2.029999,1.660004,2.829987,2.970001,2.790009,3.420013,3.540009,4.269989,NA,NA,NA,NA,27.615651163891,31.9233179149889,30.7264078171373,31.1171833444664,31.3381815481816,27.5942487865363,27.1172446792555,26.201983211237,25.6989851324127,NA,NA,NA
2022-02-23 14:10:00,NA,3.660004,2.109985,1.709991,2.850006,2.950012,2.769989,3.48999,3.48999,4.230011,NA,NA,NA,NA,27.5968415340346,31.8986048189492,30.716001859493,31.1112774181735,31.3447470232771,27.5995712469552,27.1006371500144,26.2197711562241,25.709205444219,NA,NA,NA
2022-02-23 14:20:00,NA,3.839996,2.140015,1.679993,2.850006,2.970001,2.769989,3.48999,3.51001,4.179993,NA,NA,NA,NA,27.5404371722712,31.8986048189492,30.7212091207657,31.1112774181735,31.3381815481816,27.5995712469552,27.1006371500144,26.2138443878996,25.7194265872573,NA,NA,NA
2022-02-23 14:30:00,NA,3.839996,2.140015,1.779999,2.829987,2.899994,2.700012,3.529999,3.470001,4.170013,NA,NA,NA,NA,27.5404371722712,31.8986048189492,30.6951921879159,31.1171833444664,31.3644276249469,27.6155399071187,27.0895723161632,26.2197711562241,25.7245374704498,NA,NA,NA
2022-02-23 14:40:00,NA,3.809998,2.140015,1.660004,2.850006,2.950012,2.73999,3.440002,3.619995,4.209991,NA,NA,NA,NA,27.5529598995171,31.9047893264404,30.7316154526239,31.1112774181735,31.3447470232771,27.6048939205355,27.1117029185555,26.1841892817577,25.7143159118419,NA,NA,NA
2022-02-23 14:50:00,NA,3.769989,2.299988,1.76001,2.850006,2.920013,2.700012,3.450012,3.470001,4.25,NA,NA,NA,NA,27.5654923633957,31.8615737155635,30.7055878988073,31.1112774181735,31.3513040015727,27.6155399071187,27.1117029185555,26.2257066671909,25.7040867518039,NA,NA,NA
2022-02-23 15:00:00,NA,3.839996,2.299988,1.730011,2.850006,2.890015,2.700012,3.48999,3.470001,4.299988,NA,NA,NA,NA,27.5404371722712,31.8615737155635,30.716001859493,31.1112774181735,31.3578612719724,27.6155399071187,27.1006371500144,26.2197711562241,25.6887740835338,NA,NA,NA
2022-02-23 15:10:00,NA,3.73999,2.380005,1.809998,2.850006,2.920013,2.73999,3.420013,3.570007,4.170013,NA,NA,NA,NA,27.5717633166898,31.8369061178885,30.7003899500167,31.1112774181735,31.3578612719724,27.6048939205355,27.1172446792555,26.1960488037326,25.7245374704498,NA,NA,NA
2022-02-23 15:20:00,NA,3.839996,2.429993,1.829987,2.850006,2.950012,2.700012,3.470001,3.48999,4.170013,NA,NA,NA,NA,27.5404371722712,31.8307420608058,30.6899858625475,31.1171833444664,31.3381815481816,27.6155399071187,27.1061699174577,26.2138443878996,25.7245374704498,NA,NA,NA
2022-02-23 15:30:00,NA,3.769989,2.48999,1.790009,2.850006,3.019989,2.769989,3.549988,3.459991,4.119995,NA,NA,NA,NA,27.559230260853,31.8184058940841,30.6899858625475,31.1171833444664,31.3185132438516,27.5995712469552,27.0840317259865,26.2197711562241,25.7296485614039,NA,NA,NA
2022-02-23 15:40:00,NA,3.839996,2.559998,1.829987,2.799988,2.970001,2.670013,3.48999,3.529999,4.230011,NA,NA,NA,NA,27.5404371722712,31.7937630733166,30.6743942576261,31.1348937770157,31.3316251545561,27.6261953050568,27.1006371500144,26.201983211237,25.7040867518039,NA,NA,NA
2022-02-23 15:50:00,NA,3.769989,2.559998,1.839996,2.850006,2.929993,2.670013,3.51001,3.470001,4.149994,NA,NA,NA,NA,27.5529598995171,31.7937630733166,30.6691974294701,31.1230895091762,31.3447470232771,27.6261953050568,27.0951046162436,26.2197711562241,25.7245374704498,NA,NA,NA
2022-02-23 16:00:00,NA,3.769989,2.540009,1.829987,2.820007,2.98999,2.73999,3.420013,3.470001,4.170013,NA,NA,NA,NA,27.5529598995171,31.8060883823519,30.6743942576261,31.1348937770157,31.3250690531049,27.6048939205355,27.1172446792555,26.2197711562241,25.7194265872573,NA,NA,NA
2022-02-23 16:10:00,NA,3.809998,2.559998,1.809998,2.829987,2.920013,2.700012,3.519989,3.48999,4.070007,NA,NA,NA,NA,27.5341848047975,31.8060883823519,30.6795912725324,31.1289871358783,31.3513040015727,27.6102168072619,27.0895723161632,26.2138443878996,25.744991516025,NA,NA,NA
2022-02-23 16:20:00,NA,3.73999,2.519989,1.809998,2.829987,2.869995,2.820007,3.519989,3.540009,4.170013,NA,NA,NA,NA,27.5529598995171,31.8184058940841,30.6847884741769,31.1289871358783,31.3644276249469,27.588935095791,27.0895723161632,26.1960488037326,25.7194265872573,NA,NA,NA
2022-02-23 16:30:00,NA,3.769989,2.559998,1.809998,2.850006,2.98999,2.720001,3.470001,3.540009,4.119995,NA,NA,NA,NA,27.5404371722712,31.8122426023293,30.6847884741769,31.1230895091762,31.3250690531049,27.6102168072619,27.1061699174577,26.1960488037326,25.7347598601042,NA,NA,NA
2022-02-23 16:40:00,NA,3.73999,2.559998,1.859985,2.829987,2.970001,2.700012,3.440002,3.440002,4.170013,NA,NA,NA,NA,27.5466983881757,31.8122426023293,30.6743942576261,31.1230895091762,31.3316251545561,27.6102168072619,27.1117029185555,26.2257066671909,25.7194265872573,NA,NA,NA
2022-02-23 16:50:00,NA,3.559998,2.589996,1.859985,2.850006,2.970001,2.720001,3.570007,3.51001,4.25,NA,NA,NA,NA,27.5905779533277,31.8122426023293,30.6795912725324,31.1171833444664,31.3381815481816,27.6048939205355,27.0785084171459,26.2079094286172,25.7040867518039,NA,NA,NA
2022-02-23 17:00:00,NA,3.410004,2.540009,1.910004,2.850006,2.970001,2.790009,3.519989,3.440002,4.130005,NA,NA,NA,NA,27.6344805738667,31.8245694408456,30.6691974294701,31.1112774181735,31.3316251545561,27.5942487865363,27.0895723161632,26.2257066671909,25.7296485614039,NA,NA,NA
2022-02-23 17:10:00,NA,3.380005,2.559998,1.959991,2.799988,2.970001,2.720001,3.48999,3.540009,4.220001,NA,NA,NA,NA,27.6282066606912,31.8184058940841,30.6535993178566,31.1289871358783,31.3316251545561,27.6102168072619,27.1006371500144,26.1960488037326,25.709205444219,NA,NA,NA
2022-02-23 17:20:00,NA,3.220001,2.75,1.910004,2.850006,2.920013,2.720001,3.540009,3.51001,4.200012,NA,NA,NA,NA,27.672173074953,31.7691331455136,30.6743942576261,31.1171833444664,31.3578612719724,27.6102168072619,27.0840317259865,26.2079094286172,25.709205444219,NA,NA,NA
2022-02-23 17:30:00,NA,3.040009,2.769989,2.01001,2.850006,2.940002,2.720001,3.51001,3.440002,4.130005,NA,NA,NA,NA,27.7161797025959,31.7629718934,30.6484032371372,31.1171833444664,31.3447470232771,27.6102168072619,27.0951046162436,26.2257066671909,25.7296485614039,NA,NA,NA
2022-02-23 17:40:00,NA,2.73999,2.720001,1.98999,2.829987,2.899994,2.700012,3.48999,3.529999,4.200012,NA,NA,NA,NA,27.7917415734364,31.7752858378576,30.6535993178566,31.1230895091762,31.3578612719724,27.6155399071187,27.1006371500144,26.201983211237,25.709205444219,NA,NA,NA
2022-02-23 17:50:00,NA,2.559998,2.75,2.01001,2.829987,2.950012,2.700012,3.470001,3.540009,4.170013,NA,NA,NA,NA,27.8421999155008,31.7752858378576,30.6535993178566,31.1230895091762,31.3447470232771,27.6102168072619,27.1061699174577,26.1960488037326,25.7194265872573,NA,NA,NA
